id,team_id,slot,discord_username,discord_id,riot_id,pr,tracker
124,1780121179262,2,coax24.,1347706525816459306,Coax#4315,5,https://tracker.gg/valorant/profile/riot/Coax%234315/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
125,1780121179262,3,oneafourh,888412670368288780,OneAFourH#0507,2,https://tracker.gg/valorant/profile/riot/OneAFourH%230507/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
126,1780121179262,4,liruuwa,654446271507070987,Liruwa#8407,2,https://tracker.gg/valorant/profile/riot/Liruwa%238407/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
127,1780121179262,5,zratio,1056802512067375134,zRatio#1001,4,https://tracker.gg/valorant/profile/riot/zRatio%231001/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
128,1780337021429,1,sixxoo,1361704017243275477,blkswn#0228,5,https://tracker.gg/valorant/profile/riot/blkswn%230228
129,1780337021429,2,pluto.gg,944111980338356256,bbyplu#pluto,2,https://tracker.gg/valorant/profile/riot/bbyplu%23pluto
130,1780337021429,3,cade0525,757412157972414511,Cade0525#0525,1,https://tracker.gg/valorant/profile/riot/Cade0525%230525
131,1780337021429,4,beesmii,718275415243882558,Beesmii#mwah,2,https://tracker.gg/valorant/profile/riot/Beesmii%23mwah
132,1780337021429,5,sn4ppin,712770722652618832,rockstar bf#kimmi,5,https://tracker.gg/valorant/profile/riot/rockstar%20bf%23kimmi
134,1780352221977,1,t1dal.wave,870878648683622421,t1dalwave#MSST,2,https://tracker.gg/valorant/profile/riot/t1dalwave%23MSST/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
135,1780352221977,2,choccy1672,405086058452090881,bbL#monke,5,https://tracker.gg/valorant/profile/riot/bbL%23monke/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
136,1780352221977,3,zdyzze,647998641956454440,Infinite ZDYZZE#SDS,3,https://tracker.gg/valorant/profile/riot/Infinite%20ZDYZZE%23SDS/performance?platform=pc&playlist=competitive&season=4c4b8cff-43eb-13d3-8f14-96b783c90cd2
137,1780352221977,4,st.scoop,1035320694667493436,Scoop#Yvl,2,https://tracker.gg/valorant/profile/riot/Scoop%23Yvl/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
138,1780352221977,5,6._.coconut._.9,505782215301529610,immortal coconut#haydn,4,https://tracker.gg/valorant/profile/riot/immortal%20coconut%23haydn/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
139,1780468171674,1,peepopey,748726961634803743,Pey #QUINN,3,https://tracker.gg/valorant/profile/riot/Pey%23Quinn/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
140,1780468171674,2,hlnooalm,1385129449967583272,fluffykitten78#daiki,5,https://tracker.gg/valorant/profile/riot/fluffykitten78%23daiki/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
141,1780468171674,3,wautizmbliss,1091805539731783750,Jsn1ckk on insta#6ft3,5,https://tracker.gg/valorant/profile/riot/Jsn1ckk%20on%20insta%236ft3/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
142,1780468171674,4,sentakatsuki103,1410064887475998830,clitcrusader#0000,2,https://tracker.gg/valorant/profile/riot/clitcrusader%230000/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
143,1780468171674,5,NOTbeast42_82505,1446727416385896509,NOT Beast#11111,1,https://tracker.gg/valorant/profile/riot/Notbeast%2311111/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
144,1780621847973,1,mysticz_fps,709855262072242206,mysticz#fps,3,https://tracker.gg/valorant/profile/riot/mysticz%23fps/overview?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
145,1780621847973,2,valkfps_,750433049597968455,这个杀手很热#0730,6,https://tracker.gg/valorant/profile/riot/这个杀手很热%230730/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
146,1780621847973,3,veryysleepy,1062174549019475968,his puppy#taken,6,https://tracker.gg/valorant/profile/riot/his%20puppy%23taken/performance?platform=pc&playlist=competitive&season=ce2783e8-44fc-dd48-3da3-33b5ba6c4a22
